SCHL	fod1p	_TYPE_	_FREQ_	p50adj_wagp	p25adj_wagp	p75adj_wagp	mean_grad_degree	mean_grad_degree_all	mean_employed	pct_ts	stabbr	pct_tsg	pct_ts_all	pct_tsg_all	gths_mean	gthsftfy_mean	gmajor
		10	472	61046.04445	41511.31023	90272.15723	0.313366382	0.315476311	0.96425636	0.016409977	AL	1	0.015381809	1	0.841088017	0.847723309	Agriculture and natural resources
		10	2575	93906.32436	65182.03691	122092.0889	0.325885361	0.324981464	0.976514185	0.097795507	AL	1	0.089009094	1	0.895314839	0.93076929	Architecture and engineering
		10	520	43480.74922	30037.38049	64006.67077	0.234008402	0.236795799	0.966527581	0.019005624	AL	1	0.022998468	1	0.567164785	0.675313095	Arts
		10	1234	59447.51817	41833.43872	110087.9966	0.561924071	0.569253413	0.977971968	0.047369063	AL	1	0.049068876	1	0.770834391	0.827755913	Biology and life sciences
		10	6833	60762.91576	41206.08	89570.146	0.23315435	0.226565563	0.966178448	0.268495873	AL	1	0.254123135	1	0.815616425	0.834929599	Business
		10	802	48915.84287	34592.75852	71810.71863	0.199490129	0.211517165	0.946716222	0.031762035	AL	1	0.033170615	1	0.710625598	0.750838916	Communications and journalism
		10	1347	72237.81927	49553.55157	102215.3431	0.285157865	0.299070523	0.979746465	0.051924628	AL	1	0.049032765	1	0.851283744	0.882150706	"Computers, statistics, and mathematics"
		10	3876	49052.24473	39229.89499	58699.01145	0.510635707	0.501909031	0.972800281	0.142244655	AL	1	0.156464478	1	0.785760757	0.827559639	Education
		10	2232	59786.03018	44598.19641	82565.99746	0.333480123	0.331789093	0.973242679	0.087233647	AL	1	0.089505934	1	0.823713133	0.887986564	Health
		10	1676	52176.89906	35228.15892	77324.98964	0.458118937	0.446452171	0.959677768	0.062507203	AL	1	0.064071206	1	0.72892778	0.773139724	Humanities and liberal arts
		10	614	50871.70371	34068.0667	76094.69724	0.288860104	0.279171355	0.970370079	0.023259895	AL	1	0.02351741	1	0.711959759	0.745142487	"Industrial arts, consumer <br> services, and recreation"
		10	801	50200.12646	33575.32445	77095.94325	0.279949755	0.284021508	0.960093873	0.031481455	AL	1	0.030685169	1	0.749792026	0.738545281	Law and public policy
		10	711	71557.1978	43480.74922	111699.2409	0.520351873	0.514273064	0.965239547	0.028128053	AL	1	0.02671792	1	0.830657377	0.850561016	Physical sciences
		10	1312	45295.99175	31815.43102	62750.15807	0.434645669	0.419465698	0.940398522	0.050461093	AL	1	0.053625734	1	0.67154683	0.696048065	Psychology and social work
		10	1154	57611.99272	39333.13156	92912.90919	0.395292427	0.387973593	0.943955864	0.041921292	AL	1	0.042627388	1	0.760129115	0.812460695	Social sciences
		10	91	66286.8172	50970.74243	101743.4074	0.243294615	0.292689076	0.963151416	0.020866569	AK	1	0.019279248	1	0.864453782	0.874128828	Agriculture and natural resources
		10	324	100005.7232	68494.81753	140174.4423	0.312146531	0.312645594	0.96575783	0.094675169	AK	1	0.085543156	1	0.919546978	0.930690995	Architecture and engineering
		10	95	46236.95858	34042.36455	66052.79797	0.378252017	0.336036251	0.988193739	0.029219806	AK	1	0.033965498	1	0.702551872	0.747454943	Arts
		10	281	68494.81753	52688.32118	100107.8102	0.524209334	0.492883278	0.96645267	0.085555135	AK	1	0.084571093	1	0.831746518	0.924487483	Biology and life sciences
		10	511	69185.51704	44258.18979	101743.4074	0.222205173	0.209883431	0.978247118	0.172324364	AK	1	0.162609924	1	0.809295606	0.875522651	Business
		10	99	67103.76775	54350.93653	86961.49844	0.344847732	0.302776721	0.922814614	0.030171692	AK	1	0.02981479	1	0.779818508	0.929014825	Communications and journalism
		10	99	84301.31388	61941.93946	103266.7794	0.400688729	0.400453716	0.99805258	0.037751523	AK	1	0.032850866	1	0.893031514	0.956283196	"Computers, statistics, and mathematics"
		10	419	65333.51826	49539.59848	79263.35756	0.45376404	0.411816309	0.970529324	0.102794842	AK	1	0.121888589	1	0.801289294	0.896896167	Education
		10	240	77061.59763	57611.99272	104954.1272	0.34014681	0.285343213	0.972111554	0.078045814	AK	1	0.080459267	1	0.79362906	0.860417843	Health
		10	313	61941.93946	40697.36297	89570.146	0.411128359	0.415278699	0.979966389	0.090843388	AK	1	0.097659921	1	0.704562044	0.818375861	Humanities and liberal arts
